group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
10R_10V_04I_04M;lr105;1;1;10;04;04;40;100;91.1765;34.8837;64.676925;45.1607;88.3261;72.3347;19.2315;13.5989;5.6326;0;4.974
12R_12V_02I_03M;lr101;1;1;12;02;03;83.3333;100;86.5385;17.3077;36.26013;20.7131;91.4754;58.6775;31.5683;19.138;12.4303;0;11.1026
12R_12V_02I_03M;lr102;1;1;12;02;03;50;100;96.7742;3.2258;57.5367;33.3431;84.3598;67.3632;15.8759;10.3612;5.5146;0.0025;3.9365
12R_12V_02I_03M;lr103;1;1;12;02;03;33.3333;66.6667;93.1034;39.5833;67.0438;39.4304;93.5478;77.9054;17.4609;9.9696;7.4913;0;1.8987
12R_12V_02I_03M;lr104;1;1;12;02;03;33.3333;100;95;53.8461;68.480475;64.1956;98.3478;84.3695;12.5551;8.4406;4.1145;0;0
12R_12V_02I_03M;lr105;1;1;12;02;03;66.6667;100;81.0345;3.4483;40.41695;16.5242;98.0037;62.0704;24.2553;13.9083;10.347;0;1.0663
12R_12V_02I_04M;lr101;1;1;12;02;04;83.3333;75;86.5385;16.2791;36.61765;20.7131;85.6393;56.6307;31.9016;17.9358;13.9658;0.0653;11.6392
12R_12V_02I_04M;lr102;1;1;12;02;04;50;75;96.7742;4.7619;53.297683;33.3431;84.0544;66.9554;15.6625;11.6583;4.0042;0.0185;4.3793
12R_12V_02I_04M;lr103;1;1;12;02;04;33.3333;75;93.1034;35.4167;56.08835;64.913;92.5304;78.3152;9.8493;6.5768;3.2725;0;0.9009
12R_12V_02I_04M;lr104;1;1;12;02;04;33.3333;100;95;35;64.82955;64.1957;96.7217;83.5728;9.2739;6.188;3.0859;0;0
12R_12V_02I_04M;lr105;1;1;12;02;04;66.6667;100;81.0345;5.2632;42.235237;16.5236;98.0037;60.1881;18.2788;10.4749;7.8039;0;1.1269
12R_12V_04I_03M;lr101;1;1;12;04;03;75;100;88.4615;20.5882;35.528189;39.2786;85.7863;57.0151;66.2939;38.8295;27.4644;2.0363;13.8665
12R_12V_04I_03M;lr102;1;1;12;04;03;50;100;96.7742;4.7619;54.848567;33.6245;90.6751;68.5316;35.4248;21.2011;14.2236;0.6341;4.1373
12R_12V_04I_03M;lr103;1;1;12;04;03;41.6667;100;95.8333;32.7586;51.9267;47.0957;90.2913;67.7623;41.8493;20.4217;21.4275;0;0
12R_12V_04I_03M;lr104;1;1;12;04;03;41.6667;66.6667;84.6154;35;54.1958;41.7783;96.7304;73.3322;46.6261;28.4304;18.1957;0;0
12R_12V_04I_03M;lr105;1;1;12;04;03;50;100;97.9167;27.0833;50.688133;24.0956;85.1;60.4355;41.7797;21.0174;20.7623;0;3.5656
12R_12V_04I_04M;lr101;1;1;12;04;04;75;100;65.3846;17.3077;37.198689;38.4611;83.0153;55.5078;49.3321;29.3092;20.0229;0.2205;10.9933
12R_12V_04I_04M;lr102;1;1;12;04;04;50;100;96.7742;4.7619;59.840867;33.6245;87.6835;68.0295;28.3745;15.1793;13.1951;0.6426;4.2365
12R_12V_04I_04M;lr103;1;1;12;04;04;41.6667;100;95.8333;27.5862;51.97972;47.0957;90.2913;67.7495;26.6022;15.6185;10.9837;0;1.076
12R_12V_04I_04M;lr104;1;1;12;04;04;41.6667;50;67.5;36.3636;54.05712;41.7783;96.7304;73.3322;46.6261;28.4304;18.1957;0;0
12R_12V_04I_04M;lr105;1;1;12;04;04;50;100;97.9167;22.4138;57.957117;24.0957;85.1;60.2869;32.4913;15.8815;16.6098;0.053900000000000003;3.5817
08R_08V_02I_03M;lr201;2;1;08;02;03;25;100;90.3846;86.5385;88.4616;29.102;65.708;47.405;3.8573;2.3093;1.548;0.1157;19.5144
08R_08V_02I_03M;lr202;2;1;08;02;03;25;66.6667;94.7368;43.4782;69.1075;28.111;41.299;34.705;5.255;3.4825;1.7725;0;4.3298
08R_08V_02I_03M;lr203;2;1;08;02;03;37.5;100;100;28.5714;53.4632;5.6116;46.708;21.8155;1.282;0.982;0.3;3.5262;3.5476
08R_08V_02I_03M;lr204;2;1;08;02;03;25;66.6667;100;96.875;98.4375;29.927;33.944;31.9355;1.768;1.185;0.583;0;0
08R_08V_02I_03M;lr205;2;1;08;02;03;25;66.6667;90.3846;88.4615;89.4231;12.542;51.79;32.166;2.9975;2.387;0.6105;0;0
08R_08V_02I_04M;lr201;2;1;08;02;04;25;75;90.3846;86.5385;88.4616;28.764;65.708;47.236;3.0267;2.274;0.7527;4.5124;20.5492
08R_08V_02I_04M;lr202;2;1;08;02;04;25;75;78.2608;43.4783;60.8696;28.111;42.0299;35.0705;4.0223;3.2207;0.8017;0;3.3528
08R_08V_02I_04M;lr203;2;1;08;02;04;25;75;85.2941;25;55.1471;5.6119;59.503;32.5574;2.2777;1.702;0.5757;0;0
08R_08V_02I_04M;lr204;2;1;08;02;04;25;25;96.875;84.2105;90.5427;29.927;33.619;31.773;3.612;2.408;1.204;0;0
08R_08V_02I_04M;lr205;2;1;08;02;04;25;75;90.3846;88.4615;89.4231;12.5419;50.455;31.4984;2.1273;1.4243;0.703;0;0
08R_08V_04I_03M;lr201;2;1;08;04;03;25;100;90.3846;86.5385;88.4616;30.108;72.114;51.111;12.542;8.599;3.943;15.558;12.7832
08R_08V_04I_03M;lr202;2;1;08;04;03;25;100;94.7368;66.6666;80.7017;31.484;45.404;38.444;11.21;7.0067;4.2033;0;2.9936
08R_08V_04I_03M;lr203;2;1;08;04;03;25;100;99.9999;31.8182;65.909;6.848;60.593;33.7205;10.893;7.3443;3.5487;0;0
08R_08V_04I_03M;lr204;2;1;08;04;03;25;100;92.1053;90.625;91.3651;34.539;36.058;35.2985;9.6707;5.804;3.8667;0;0
08R_08V_04I_03M;lr205;2;1;08;04;03;12.5;100;90.3846;90.3846;90.3846;66.224;66.224;66.224;9.8033;5.7647;4.0387;0.1857;0
08R_08V_04I_04M;lr201;2;1;08;04;04;25;100;90.3846;86.5385;88.4616;29.716;72.114;50.915;9.4265;6.4178;3.0088;15.325;13.0377
08R_08V_04I_04M;lr202;2;1;08;04;04;25;100;94.7368;43.4781;69.1075;31.0231;44.943;37.983;10.3602;5.437;4.9232;0;3.0381
08R_08V_04I_04M;lr203;2;1;08;04;04;25;100;100;31.8182;65.9091;6.848;60.1239;33.486;11.0895;5.518;5.5715;0;0
08R_08V_04I_04M;lr204;2;1;08;04;04;25;75;93.75;65.625;79.6875;32.814;40.126;36.47;9.4267;6.329;3.0977;0;0
08R_08V_04I_04M;lr205;2;1;08;04;04;12.5;75;90.3846;90.3846;90.3846;67.045;67.045;67.045;7.8473;6.5623;1.285;0;0
10R_10V_02I_03M;lr201;2;1;10;02;03;20;100;100;86.5385;93.2692;30.272;70.384;50.328;4.1227;2.757;1.3657;0.2053;7.2204
10R_10V_02I_03M;lr202;2;1;10;02;03;30;100;89.1304;66.6667;75.8454;11.556;37.7289;24.2673;1.6343;1.1073;0.527;0;0.713
10R_10V_02I_03M;lr203;2;1;10;02;03;30;66.6667;96.5517;14.5833;62.7394;5.6117;46.93;23.1432;1.848;1.398;0.45;0;0
10R_10V_02I_03M;lr204;2;1;10;02;03;20;66.6667;89.4737;71.0526;80.2631;31.071;39.652;35.3615;3.526;1.978;1.548;0;0
10R_10V_02I_03M;lr205;2;1;10;02;03;20;66.6667;88.4615;61.5385;75;21.523;56.051;38.787;2.6675;1.738;0.9295;0;10.1441
10R_10V_02I_04M;lr201;2;1;10;02;04;20;100;100;86.5385;93.2692;30.202;70.384;50.293;3.365;2.0702;1.2948;0;9.9724
10R_10V_02I_04M;lr202;2;1;10;02;04;30;50;89.1304;66.6667;75.8454;11.556;37.729;24.2673;1.872;1.5115;0.3605;0;0
10R_10V_02I_04M;lr203;2;1;10;02;04;30;75;97.3684;14.5833;67.1783;5.612;46.636;23.0453;1.5477;0.997;0.5507;0;3.4268
10R_10V_02I_04M;lr204;2;1;10;02;04;30;50;92.3077;59.375;80.7692;22.632;29.576;25.504;5.1675;3.1005;2.067;0;0
10R_10V_02I_04M;lr205;2;1;10;02;04;30;25;100;37.2093;75.2236;11.496;47.073;24.138;2.695;2.156;0.539;0;0
10R_10V_04I_03M;lr201;2;1;10;04;03;40;100;100;17.3076;65.4129;10.6347;72.7;29.7257;14.1317;7.527;6.6047;9.9369;14.8685
10R_10V_04I_03M;lr202;2;1;10;04;03;30;100;91.3042;42.1053;62.0137;12.401;63.0819;31.5226;13.8847;10.659;3.2257;0;0.6955
10R_10V_04I_03M;lr203;2;1;10;04;03;30;100;97.3684;18.4211;63.3091;6.213;54.451;26.7327;12.0937;7.2853;4.8083;2.149;2.5181
10R_10V_04I_03M;lr204;2;0;10;04;03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10R_10V_04I_03M;lr205;2;1;10;04;03;20;100;100;88.4615;94.2308;12.542;65.669;39.1055;9.619;5.3413;4.2777;0;0
10R_10V_04I_04M;lr201;2;1;10;04;04;40;75;100;17.3076;60.5769;10.6346;72.7;29.7256;13.9323;8.158;5.7743;6.4593;14.6045
10R_10V_04I_04M;lr202;2;1;10;04;04;30;100;94.7368;52.6316;66.9006;12.401;62.844;31.33;12.073;7.7425;4.3305;0;0.9813
10R_10V_04I_04M;lr203;2;0;10;04;04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10R_10V_04I_04M;lr204;2;0;10;04;04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10R_10V_04I_04M;lr205;2;1;10;04;04;20;100;100;88.4615;94.2308;12.542;65.039;38.7905;6.7245;3.899;2.8255;0;0
12R_12V_02I_03M;lr201;2;1;12;02;03;25;100;100;82.6923;92.9487;18.876;60.036;44.2277;4.155;2.7637;1.3913;1.071;18.4234
12R_12V_02I_03M;lr202;2;1;12;02;03;25;66.6667;86.8421;66.6667;77.2566;17.213;44.872;27.5793;4.054;2.672;1.382;0;0
12R_12V_02I_03M;lr203;2;1;12;02;03;25;100;81.25;22.4138;60.9435;25.668;55.364;37.592;3.292;2.1693;1.1227;0;4.464
12R_12V_02I_03M;lr204;2;0;12;02;03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_02I_03M;lr205;2;1;12;02;03;16.6667;100;98.2759;82.7586;90.5172;37.195;55.322;46.2585;3.8763;2.1057;1.7707;0;5.0043
12R_12V_02I_04M;lr201;2;1;12;02;04;25;100;100;69.7674;84.1532;18.806;70.955;44.282;3.1113;2.0857;1.0255;2.3214;22.9932
12R_12V_02I_04M;lr202;2;1;12;02;04;25;50;100;86.8421;93.8596;17.311;45.892;27.952;3.194;2.764;0.43;0;0
12R_12V_02I_04M;lr203;2;1;12;02;04;25;100;97.3684;27.0833;72.5184;31.187;46.57;36.643;2.3437;1.5187;0.825;2.6999;3.6319
12R_12V_02I_04M;lr204;2;0;12;02;04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_02I_04M;lr205;2;1;12;02;04;16.6667;100;98.2759;82.7586;90.5172;31.282;61.105;46.1935;3.5297;2.3292;1.2005;0;0
12R_12V_04I_03M;lr201;2;1;12;04;03;25;100;100;84.6147;90.9956;19.729;67.4814;48.4148;13.9233;8.126;5.7973;6.5645;22.5906
12R_12V_04I_03M;lr202;2;1;12;04;03;33.3333;100;94.7368;50;67.9386;15.186;49.366;27.6832;15.8823;9.6923;6.19;1.2944;2.1244
12R_12V_04I_03M;lr203;2;0;12;04;03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_04I_03M;lr204;2;0;12;04;03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_04I_03M;lr205;2;1;12;04;03;25;100;96.5517;79.3103;86.3984;13.17;48.646;32.823;10.839;6.399;4.44;0;8.6827
12R_12V_04I_04M;lr201;2;1;12;04;04;25;100;88.3721;82.6923;85.2266;19.729;67.4829;48.3996;13.068;6.2113;6.8567;11.1475;20.6148
12R_12V_04I_04M;lr202;2;0;12;04;04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_04I_04M;lr203;2;1;12;04;04;25;100;79.1667;35.4167;59.4588;18.466;47.631;32.8113;10.3948;5.3648;5.03;1.4193;1.8749
12R_12V_04I_04M;lr204;2;0;12;04;04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12R_12V_04I_04M;lr205;2;1;12;04;04;25;100;98.2759;79.3103;86.9732;13.17;50.124;32.979;12.193;7.0468;5.1462;0;0
