full_name;type;alpha;seed;value;feasible
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;73;6163.03;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;73;7761.87;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;73;8556.88;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;73;10024.58;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;73;12040.1;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;73;11967.72;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;80;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;80;654.25;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;80;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;80;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;80;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;80;976.6;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;80;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;80;1336.87;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;80;4560;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;80;5779.57;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;80;6060.12;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;80;7792.72;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;80;8627.97;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;80;10188.22;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;80;12028.05;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;80;11904.4;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;87;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;87;652.99;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;87;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;87;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;87;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;87;933.29;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;87;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;87;1336.74;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;87;4608.08;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;87;5889.02;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;87;6209.26;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;87;7881.34;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;87;8584.27;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;87;10135.92;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;87;12109.42;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;87;11924.12;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.1;24;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.1;24;652.32;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.1;24;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.1;24;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.1;24;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.1;24;984.86;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.1;24;1394.99;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.1;24;1335;TRUE
