full_name;type;alpha;seed;value;feasible
lr108_t1_12R_12V_04I_04M;t1;0.05;80;833.76;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;80;876.56;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;80;3708.87;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;80;6279.46;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;80;3182.86;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;80;6086.38;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;80;6576.76;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;80;10613.02;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;80;6922.81;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;80;7044.01;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;87;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;87;554.29;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;87;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;87;618.37;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;87;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;87;870.03;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;87;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;87;846.77;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;87;3619.73;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;87;6198.53;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;87;3254.19;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;87;6156.45;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;87;6644.22;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;87;10226.29;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;87;6871.88;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;87;6982.52;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;24;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;24;550.16;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;24;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;24;618.4;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;24;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;24;859.11;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;24;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;24;884.08;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;24;3791.31;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;24;6523.69;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;24;3321.58;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;24;6191.74;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;24;6618.59;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;24;10733.1;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;24;6929.67;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;24;7238.45;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;31;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;31;548.99;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;31;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;31;618.4;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.1;31;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.1;31;867.17;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.1;31;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.1;31;868.34;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.1;31;3891.08;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.1;31;6333.35;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.1;31;3287.61;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.1;31;6080.87;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.1;31;6705.92;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.1;31;10429.68;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.1;31;7031.26;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;31;7339.69;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.1;38;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.1;38;548.34;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.1;38;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.1;38;621.6;TRUE
