name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr104;10R_10V_02F_03M;t1;0.05;75;890.44;TRUE;80.21;lr104_t1_10R_10V_02F_03M;10;54073;72.18;60000;47.06;9.44
lr104;10R_10V_02F_04M;t1;0.05;75;892.38;TRUE;83.19;lr104_t1_10R_10V_02F_04M;10;31828;44.15;60000;47.05;9.3
lr105;10R_10V_02F_03M;t1;0.05;75;1207.1;TRUE;74.07;lr105_t1_10R_10V_02F_03M;10;3;0.29;60000;50.22;19.14
lr105;10R_10V_02F_04M;t1;0.05;75;1188.48;TRUE;137.53;lr105_t1_10R_10V_02F_04M;10;3;0.32;60000;0;20.11
lr201;10R_10V_02F_03M;t2;0.05;75;1013.31;TRUE;124;lr201_t2_10R_10V_02F_03M;10;109;0.53;60000;6.7;26.94
lr201;10R_10V_02F_04M;t2;0.05;75;1013.31;TRUE;127.91;lr201_t2_10R_10V_02F_04M;10;109;0.55;60000;6.7;26.94
lr202;10R_10V_02F_03M;t2;0.05;75;912.64;TRUE;150.26;lr202_t2_10R_10V_02F_03M;10;14983;38.07;60000;0;31.16
lr202;10R_10V_02F_04M;t2;0.05;75;916.41;TRUE;159.23;lr202_t2_10R_10V_02F_04M;10;2007;5.74;60000;0;32.32
lr203;10R_10V_02F_03M;t2;0.05;75;866.44;TRUE;180.33;lr203_t2_10R_10V_02F_03M;10;57088;171.6;60000;0;17.74
lr203;10R_10V_02F_04M;t2;0.05;75;862.12;TRUE;188.98;lr203_t2_10R_10V_02F_04M;10;25036;79.3;60000;0;17.82
lr204;10R_10V_02F_03M;t2;0.05;75;746;TRUE;166.19;lr204_t2_10R_10V_02F_03M;10;40480;112.4;60000;0;9.04
lr204;10R_10V_02F_04M;t2;0.05;75;743.89;TRUE;171.79;lr204_t2_10R_10V_02F_04M;10;40480;115.65;60000;0;9.31
lr205;10R_10V_02F_03M;t2;0.05;75;887.3;TRUE;158.28;lr205_t2_10R_10V_02F_03M;10;11051;29.38;60000;0;26.24
lr205;10R_10V_02F_04M;t2;0.05;75;879.84;TRUE;163.71;lr205_t2_10R_10V_02F_04M;10;11051;30.42;60000;0;26.26
lr101;10R_10V_04F_03M;t1;0.05;75;1343.37;TRUE;87.64;lr101_t1_10R_10V_04F_03M;10;1208;2.18;60000;42.8;18.92
lr101;10R_10V_04F_04M;t1;0.05;75;1334.41;TRUE;145.39;lr101_t1_10R_10V_04F_04M;10;1279;3.45;60000;0;20.51
lr102;10R_10V_04F_03M;t1;0.05;75;1155.25;TRUE;29.24;lr102_t1_10R_10V_04F_03M;10;3944;2.15;60000;88.12;7.48
lr102;10R_10V_04F_04M;t1;0.05;75;1145.23;TRUE;95.85;lr102_t1_10R_10V_04F_04M;10;1355;2.59;60000;40.14;9.12
lr103;10R_10V_04F_03M;t1;0.05;75;1485.44;TRUE;22.11;lr103_t1_10R_10V_04F_03M;10;7052;2.9;60000;97.42;12.42
lr103;10R_10V_04F_04M;t1;0.05;75;1444.21;TRUE;78.5;lr103_t1_10R_10V_04F_04M;10;2604;3.67;60000;67.36;12.18
lr104;10R_10V_04F_03M;t1;0.05;75;1232.39;TRUE;69.95;lr104_t1_10R_10V_04F_03M;10;6778;8.18;60000;65.85;7.51
lr104;10R_10V_04F_04M;t1;0.05;75;1218.3;TRUE;83.63;lr104_t1_10R_10V_04F_04M;10;136;0.52;60000;59.33;8.7
lr105;10R_10V_04F_03M;t1;0.05;75;1592.96;TRUE;15.53;lr105_t1_10R_10V_04F_03M;10;26068;6.89;60000;97.35;16.52
lr105;10R_10V_04F_04M;t1;0.05;75;1517.24;TRUE;49.72;lr105_t1_10R_10V_04F_04M;10;5279;4.81;60000;76.69;17.7
lr201;10R_10V_04F_03M;t2;0.05;75;1358.22;TRUE;143.12;lr201_t2_10R_10V_04F_03M;10;29232;69.91;60000;12.6;22.34
lr201;10R_10V_04F_04M;t2;0.05;75;1358.22;TRUE;147.54;lr201_t2_10R_10V_04F_04M;10;29232;72.28;60000;12.6;22.79
lr202;10R_10V_04F_03M;t2;0.05;75;1261.33;TRUE;192.39;lr202_t2_10R_10V_04F_03M;10;56911;182.52;60000;0.51;27.65
lr202;10R_10V_04F_04M;t2;0.05;75;1240.58;TRUE;202.44;lr202_t2_10R_10V_04F_04M;10;33641;113.71;60000;0;30.45
