name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr101;10R_10V_02I_03M;t1;0.05;24;1295.99;TRUE;15.75;lr101_t1_10R_10V_02I_03M;10;26776;7.15;60000;96.03;13.14
lr101;10R_10V_02I_04M;t1;0.05;24;1254.94;TRUE;61.62;lr101_t1_10R_10V_02I_04M;10;16354;17.15;60000;60.26;14.15
lr102;10R_10V_02I_03M;t1;0.05;24;1018.62;TRUE;123.85;lr102_t1_10R_10V_02I_03M;10;8;0.33;60000;0;11.56
lr102;10R_10V_02I_04M;t1;0.05;24;1018.62;TRUE;127.56;lr102_t1_10R_10V_02I_04M;10;8;0.33;60000;0;11.56
lr103;10R_10V_02I_03M;t1;0.05;24;610.04;TRUE;135.12;lr103_t1_10R_10V_02I_03M;10;14;0.36;60000;0.23;8.47
lr103;10R_10V_02I_04M;t1;0.05;24;610.04;TRUE;140.86;lr103_t1_10R_10V_02I_04M;10;14;0.32;60000;0;8.41
lr104;10R_10V_02I_03M;t1;0.05;24;687.39;TRUE;118.95;lr104_t1_10R_10V_02I_03M;10;21758;43.41;60000;0;6.38
lr104;10R_10V_02I_04M;t1;0.05;24;671.72;TRUE;125.32;lr104_t1_10R_10V_02I_04M;10;13278;28.3;60000;0;7.03
lr105;10R_10V_02I_03M;t1;0.05;24;671.01;TRUE;113.51;lr105_t1_10R_10V_02I_03M;10;287;0.86;60000;0;18.65
lr105;10R_10V_02I_04M;t1;0.05;24;671.01;TRUE;116.12;lr105_t1_10R_10V_02I_04M;10;287;0.85;60000;0;18.66
lr201;10R_10V_02I_03M;t2;0.05;24;1006.56;TRUE;129.13;lr201_t2_10R_10V_02I_03M;10;886;2.31;60000;0;26.48
lr201;10R_10V_02I_04M;t2;0.05;24;1005.86;TRUE;132.14;lr201_t2_10R_10V_02I_04M;10;886;2.42;60000;0;26.5
lr202;10R_10V_02I_03M;t2;0.05;24;810.23;TRUE;143.31;lr202_t2_10R_10V_02I_03M;10;30644;73.72;60000;0;27.68
lr202;10R_10V_02I_04M;t2;0.05;24;809.32;TRUE;150.09;lr202_t2_10R_10V_02I_04M;10;30644;77.4;60000;0;28.09
lr203;10R_10V_02I_03M;t2;0.05;24;756.99;TRUE;188.35;lr203_t2_10R_10V_02I_03M;10;2421;8.14;60000;0;19.72
lr203;10R_10V_02I_04M;t2;0.05;24;756.27;TRUE;199.08;lr203_t2_10R_10V_02I_04M;10;2421;8.47;60000;0;20.03
lr204;10R_10V_02I_03M;t2;0.05;24;761.82;TRUE;180.72;lr204_t2_10R_10V_02I_03M;10;11133;34.2;60000;0;8.79
lr204;10R_10V_02I_04M;t2;0.05;24;758.42;TRUE;194.33;lr204_t2_10R_10V_02I_04M;10;1838;6.47;60000;0;9.57
lr205;10R_10V_02I_03M;t2;0.05;24;757.24;TRUE;144.56;lr205_t2_10R_10V_02I_03M;10;26853;64.51;60000;0;31.29
lr205;10R_10V_02I_04M;t2;0.05;24;757.24;TRUE;150.55;lr205_t2_10R_10V_02I_04M;10;26853;67.76;60000;0;31.29
lr101;10R_10V_04I_03M;t1;0.05;24;1275.66;TRUE;14.01;lr101_t1_10R_10V_04I_03M;10;840;0.5;60000;99.69;22.14
lr101;10R_10V_04I_04M;t1;0.05;24;1207.27;TRUE;67.56;lr101_t1_10R_10V_04I_04M;10;1034;1.45;60000;60.3;21.12
lr102;10R_10V_04I_03M;t1;0.05;24;943.35;TRUE;54.38;lr102_t1_10R_10V_04I_03M;10;1066;1.27;60000;70.15;12.81
lr102;10R_10V_04I_04M;t1;0.05;24;938.67;TRUE;110.44;lr102_t1_10R_10V_04I_04M;10;17602;32.9;60000;29.74;12
lr103;10R_10V_04I_03M;t1;0.05;24;615.06;TRUE;121.94;lr103_t1_10R_10V_04I_03M;10;651;1.7;60000;23.11;15.05
